id,chapter_title,paragraph,quote,source_url,created_at,title,content
24,CHAPTER I,THE POWER OF PREJUDICE,,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
25,CHAPTER I,I,,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
26,CHAPTER I,"Themention of Cagliostro always suggests the
marvellous, the mysterious, the unknown. There is
something cabalistic in the very sound of the name
that, considering the occult phenomena performed by
the strange personality who assumed it, is curiously
appropriate. As anincognitoit is, perhaps, the most
suitable ever invented. The name fits the man like
a glove; and, recalling the mystery in which his
career was wrapped, one involuntarily wonders if it has
ever been cleared up. In a word, what was Cagliostro
really? Charlatan, adventurer, swindler, whose impostures
were finally exposed by the ever-memorable
Necklace Affair in which he was implicated? Or
“friend of humanity,” as he claimed, whose benefactions
excited the enmity of the envious, who took
advantage of his misfortunes to calumniate and ruin
him? Knave, or martyr—which?",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
27,CHAPTER I,"This question is more easily answered by saying
what Cagliostro wasnotthan what hewas. It has
been stated by competent judges—and all who have[Pg 2]studied the subject will agree with them—that there is,
perhaps, no other equally celebrated figure in modern
history whose character is so baffling to the biographer.
Documents and books relating to him abound, but they
possess little or no value. The most interesting are
frequently the most unreliable. The fact that material
so questionable should provide as many reasons for
rejecting its evidence—which is, by the way, almost
entirely hostile—as for accepting it, has induced
theosophists, spiritualists, occultists, and all who are
sympathetically drawn to the mysterious to become
his apologists. By these amiable visionaries Cagliostro
is regarded as one of the princes of occultism whose
mystical touch has revealed the arcana of the spiritual
world to the initiated, and illumined the path along
which the speculative scientist proceeds on entering
the labyrinth of the supernatural. To them the striking
contrasts with which his agitated existence was
chequered are unimpeachable witnesses in his favour,
and they stubbornly refuse to accept the unsatisfactory
and contemptuous explanation of his miracles given
by those who regard him as an impostor.",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
28,CHAPTER I,"Unfortunately, greater weight is attached to police
reports than to theosophical eulogies; and something
more substantial than the enthusiasm of the occultists
is required to support their contention. However, those
who take this extravagant (I had almost said ridiculous)
view of Cagliostro may obtain what consolation they
can from the fact—which cannot be stated too emphatically—that
though it is utterly impossible to grant
their prophet the halo they would accord him, it is
equally impossible to accept the verdict of his enemies.",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
29,CHAPTER I,"In reality, it is by the evil that has been said and[Pg 3]written of him that he is best known. In his own day,
with very few exceptions, those whom he charmed or
duped—as you will—by acts that in any case should
have inspired gratitude rather than contempt observed
a profound silence. When the Necklace Affair opened
its flood-gates of ridicule and calumny, his former
admirers saw him washed away with indifference. To
defend him was to risk being compromised along with
him; and, no doubt, as happens in our own times, the
pleasure of trailing in the mud one who has fallen
was too delightful to be neglected. It is from this
epoch—1785—when people were engaged in blighting
his character rather than in trying to judge it, that
nearly all the material relating to Cagliostro dates.
With only such documents, then, to hand as have
been inspired by hate, envy, or simply a love of
detraction, the difficulty of forming a correct opinion
of him is apparent.",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
30,CHAPTER I,"The portrait Carlyle has drawn of Cagliostro is the
one most familiar to English readers. Now, though
Carlyle’s judgments have in the main been upheld by
the latest historians (who have had the advantage of
information to which he was denied access), nevertheless,
like everybody else, he made mistakes. In his case,
however, these mistakes were inexcusable, for they
were due, not to the lack of data, but to the strong
prejudices by which he suffered himself to be swayed
to the exclusion of that honesty and fairness he deemed
so essential to the historian. He approached Cagliostro
with a mind already biassed against him. Distasteful
at the start, the subject on closer acquaintance became
positively repugnant to him. The flagrant mendacity
of the documentary evidence—which, discount it as he[Pg 4]might, still left the truth in doubt—only served to
strengthen his prejudice. It could surely be no innocent
victim of injustice who aroused contempt so
malevolent, hatred so universal. The mystery in
which he masqueraded was alone sufficient to excite
suspicion. And yet, whispered the conscience of the
historian enraged at the mendacity of the witnesses he
consulted, what noble ideals, what lofty aspirations
misjudged, misunderstood, exposed to ridicule, pelted
with calumny, may not have sought shelter under that
mantle of mystery?",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
31,CHAPTER I,"“Looking at thy so attractively decorated private
theatre, wherein thou actedst and livedst,” he exclaims,
“what hand but itches to draw aside thy curtain;
overhaul thy paste-boards, paint-pots, paper-mantles,
stage-lamps; and turning the whole inside out, findtheein the middle thereof!”",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
32,CHAPTER I,"And suiting the action to the word, he clutches with
an indignant hand at that metaphorical curtain; but
in the very act of drawing it aside his old ingrained
prejudice asserts itself. Bah! what else but a fraud
can a Grand Cophta of Egyptian Masonry be? Can
a Madame von der Recke, a Baroness d’Oberkirch,
whose opinions at least are above suspicion, be other
than right? The man is a shameless liar; and if he
has been so shamelessly lied about in turn, he has only
got what he deserved. And exasperated that such
a creature should have been permitted even for a
moment to cross the threshold of history, Carlyle
dropped the curtain his fingers “itched to draw aside”
and proceeded to empty all the vials of his wrath
on Cagliostro.",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
56,CHAPTER I,"“The adventures,” he asks, “of Giuseppe Balsamo
and those of Alessandro Cagliostro—do they belong
to the history of the same career? Was the individual
who had his wife shut up in Sainte Pélagie in 1773[Pg 13]the same who in 1786 protested so vehemently against
the imprisonment of his wife?[3]",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
57,CHAPTER I,"“Everything goes to prove it. The Countess
Cagliostro was born in Rome; Balsamo’s wife was
likewise a Roman. The maiden name of both was
Feliciani.",,https://www.gutenberg.org/cache/epub/74618/pg74618-images.html,,CAGLIOSTRO,
